Name,Status,Section,Activity,Term,Mode of Delivery,Interval,Days,Start Time,End Time,Section Comments,Requires In-Person Attendance,Total Seats Remaining:,Currently Registered:,General Seats Remaining:,Restricted Seats Remaining*:,Course URL
"ALILA, YOUNES",,FRST 231 99C,Lecture,2,Online,,,,,"Section Comments  This section of the course is ONLINE- distance education. All communication will be by email. It is your responsibility to ensure you have a valid email account so that you can be contacted with important information and updates. You can update your contact information through the Student Service Centre and login to the course through canvas.ubc.ca. For more information including resources for distance learners visit distancelearning.ubc.ca. In this course, you have to write the final exam online (from home) using Proctorio (an online remote proctoring service). Contact your instructor if you have any questions, and with a valid request, the instructor will arrange a paper exam at UBC's Point Grey campus only.",No,13,47,13,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=231&section=99C
"ALILA, YOUNES",,FRST 231 LA1,Laboratory,2,In-Person,,Wed,14:00,16:00,,Yes,13,32,13,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=231&section=LA1
"ALILA, YOUNES",,FRST 231 LA2,Laboratory,2,In-Person,,Thu,14:00,16:00,,Yes,10,35,10,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=231&section=LA2
"ALILA, YOUNES",,FRST 385 101,Lecture,1,In-Person,,Mon Wed Fri,10:00,11:00,,Yes,22,118,22,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=385&section=101
"ALILA, YOUNES",,FRST 385 L01,Laboratory,1,In-Person,,Wed,15:00,17:00,"Section Comments  If students are not able to attend this course in-person because they cannot physically attend classes, the course can be taken in its entirety online with permission from the instructor.  Please contact the instructor as soon as possible.",Yes,3,57,3,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=385&section=L01
"ALILA, YOUNES",,FRST 385 L02,Laboratory,1,In-Person,,Thu,12:30,14:30,"Section Comments  If students are not able to attend this course in-person because they cannot physically attend classes, the course can be taken in its entirety online with permission from the instructor.  Please contact the instructor as soon as possible.",Yes,18,42,18,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=385&section=L02
"ALILA, YOUNES",,FRST 385 L03,Laboratory,1,In-Person,,Thu,15:00,17:00,"Section Comments  If students are not able to attend this course in-person because they cannot physically attend classes, the course can be taken in its entirety online with permission from the instructor.  Please contact the instructor as soon as possible.",Yes,2,19,2,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=385&section=L03
"ALILA, YOUNES",Unreleased,FRST 385 L04,Laboratory,1,In-Person,,Wed,13:00,15:00,,Yes,0,0,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=385&section=L04
"ALILA, YOUNES",,FRST 485 201,Lecture,2,In-Person,,Mon,17:00,19:00,,Yes,10,10,10,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=485&section=201
"ALILA, YOUNES",,,Lecture,2,In-Person,,Fri,12:00,13:00,,Yes
"ALILA, YOUNES",,FRST 590 201,Lecture,2,In-Person,,Mon,17:00,19:00,Section Comments  Meets with FRST 485.,Yes,10,0,10,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=590&section=201
"ALILA, YOUNES",,,Lecture,2,In-Person,,Fri,12:00,13:00,Section Comments  Meets with FRST 485.,Yes
"ALILA, YOUNES",Restricted,LFS 252 002,Lecture,2,In-Person,,Tue Thu,9:30,11:00,,Yes,36,174,0,36,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=252&section=002
"ALILA, YOUNES",Full,LFS 252 T01,Tutorial,2,In-Person,,Mon,14:00,15:00,,Yes,0,21,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=252&section=T01
"ALILA, YOUNES",,LFS 252 T02,Tutorial,2,In-Person,,Mon,16:00,17:00,,Yes,9,12,9,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=252&section=T02
"ALILA, YOUNES",,LFS 252 T03,Tutorial,2,In-Person,,Wed,14:00,15:00,,Yes,5,16,5,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=252&section=T03
"ALILA, YOUNES",,LFS 252 T04,Tutorial,2,In-Person,,Wed,16:00,17:00,,Yes,2,19,2,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=252&section=T04
"ALILA, YOUNES",,LFS 252 T05,Tutorial,2,In-Person,,Fri,14:00,15:00,,Yes,1,20,1,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=252&section=T05
"ALILA, YOUNES",,LFS 252 T06,Tutorial,2,In-Person,,Fri,16:00,17:00,,Yes,11,10,11,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=252&section=T06
"ALILA, YOUNES",,LFS 252 T07,Tutorial,2,In-Person,,Thu,12:30,13:30,,Yes,3,18,3,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=252&section=T07
"ALILA, YOUNES",,LFS 252 T08,Tutorial,2,In-Person,,Thu,13:30,14:30,,Yes,1,20,1,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=252&section=T08
"ALILA, YOUNES",,LFS 252 T09,Tutorial,2,In-Person,,Thu,14:30,15:30,,Yes,1,20,1,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=252&section=T09
"ALILA, YOUNES",,LFS 252 T10,Tutorial,2,In-Person,,Thu,15:30,16:30,,Yes,4,17,4,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=252&section=T10
"ANDREWS-KEY, SHERI",Restricted,FRST 497 101,Essay/Report,1,In-Person,,Wed,9:00,11:00,Section Comments  This course is open only to BSF students.,Yes,13,51,0,13,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=497&section=101
"ANDREWS-KEY, SHERI",,FRST 497 T01,Tutorial,1,In-Person,,Mon,17:00,19:00,,Yes,11,24,11,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=497&section=T01
"ANDREWS-KEY, SHERI",,FRST 497 T02,Tutorial,1,In-Person,,Fri,9:00,11:00,,Yes,8,27,8,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=497&section=T02
"ANDREWS-KEY, SHERI",,FRST 507C 101,Lecture,1,In-Person,,Tue,13:30,16:30,"Section Comments  ""Climate Adaptation in Socio-Ecological Systems"". This grad course focuses on developing an understanding of key issues and concepts in climate adaptation of socio-ecological systems. We will explore the theory and evolution of adaptation and how adaptation can take place at different levels, both within organizations and within resource management systems. It will utilize existing case studies within forest management and tools such as climate vulnerability assessments to investigate the opportunities, challenges, and barriers to adaptation at these different levels. We will also explore strategies and practices used to manage climate impacts and risks. We will conclude by examining the institutional environment, including economic elements and policies that influence and affect climate and ~ adaptation actions.",Yes,11,9,11,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=507C&section=101
"ARCESE, PETER",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1490359&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"AVRAMIDIS, STAVROS",,WOOD 282 201,Lecture,2,In-Person,,Mon Wed Fri,9:00,10:00,,Yes,20,20,20,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=282&section=201
"AVRAMIDIS, STAVROS",,WOOD 282 L01,Laboratory,2,In-Person,,Thu,10:00,12:00,,Yes,20,20,20,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=282&section=L01
"AVRAMIDIS, STAVROS",,WOOD 384 101,Lecture,1,In-Person,,Mon Wed Fri,13:00,14:00,,Yes,24,36,24,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=384&section=101
"AVRAMIDIS, STAVROS",,WOOD 384 L01,Laboratory,1,In-Person,,Tue,14:00,16:00,,Yes,24,36,24,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=384&section=L01
"AVRAMIDIS, STAVROS",,WOOD 573 201,Lecture,2,In-Person,,Mon Wed Fri,9:00,10:00,Section Comments  Meets with WOOD 282.,Yes,9,1,9,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=573&section=201
"AVRAMIDIS, STAVROS",,WOOD 573 L02,Laboratory,2,In-Person,,Thu,10:00,12:00,,Yes,9,1,9,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=573&section=L02
"BARBEITO SANCHEZ, IGNACIO",,FRST 436 001,Lecture,2,In-Person,,Wed Fri,13:00,14:30,,Yes,49,11,49,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=436&section=001
"BARICHELLO, RICHARD",,FRE 306 001,Lecture,1,In-Person,,Mon Wed,15:30,17:00,,Yes,28,57,23,5,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRE&course=306&section=001
"BARICHELLO, RICHARD",Restricted,FRE 501 001,Lecture,1,In-Person,,Tue Thu,10:00,11:30,,Yes,8,38,0,8,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRE&course=501&section=001
"BARICHELLO, RICHARD",Restricted,FRE 505 001,Lecture,2,In-Person,,Tue Thu,12:30,14:00,,Yes,28,17,0,28,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRE&course=505&section=001
"BARICHELLO, RICHARD",Restricted,FRE 521G 002,Lecture,2,In-Person,,Tue Thu,10:00,11:30,Section Comments  Restricted to students registered in MFRE,Yes,38,7,0,38,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRE&course=521G&section=002
"BENDICKSON, DENNIS F.",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=622589&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"BETT, NOLAN",Full,CONS 451 101,Lecture-Laboratory,1,In-Person,,Mon Tue Wed Thu Fri,8:00,18:00,Section Comments  contact Susie Lavallee (604) 822 4987 for more information.  This course isrestricted to students in the Conservation Program (in the Science and Management Major).,Yes,0,50,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=CONS&course=451&section=101
"BETT, NOLAN",,,Lecture-Laboratory,1,In-Person,,Mon,14:00,16:00,Section Comments  contact Susie Lavallee (604) 822 4987 for more information.  This course isrestricted to students in the Conservation Program (in the Science and Management Major).,Yes
"BETT, NOLAN",,,Lecture-Laboratory,1,In-Person,,Tue,9:00,11:00,Section Comments  contact Susie Lavallee (604) 822 4987 for more information.  This course isrestricted to students in the Conservation Program (in the Science and Management Major).,Yes
"BETT, NOLAN",,,Lecture-Laboratory,1,In-Person,,Wed,10:00,12:00,Section Comments  contact Susie Lavallee (604) 822 4987 for more information.  This course isrestricted to students in the Conservation Program (in the Science and Management Major).,Yes
"BETT, NOLAN",Restricted,CONS 452 201,Lecture-Laboratory,2,In-Person,,Mon Tue Wed Thu,11:00,14:00,"Section Comments  This course is for 4th year Conservation students in the Global Perspectives major.  Students must have completed their international experience and GIS requirements, and have been approved by the Program Director.  Only qualified candidates may register.",Yes,18,32,0,18,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=CONS&course=452&section=201
"BETT, NOLAN",,FRST 495 201,Lecture,2,In-Person,,Tue Thu,15:30,17:00,,Yes,6,74,6,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=495&section=201
"BETT, NOLAN",,FRST 495 T01,Tutorial,2,In-Person,,Tue Thu,17:00,18:00,,Yes,7,73,7,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=495&section=T01
"BLACK, THOMAS ANDREW",,SOIL 524 002,Directed Studies,2,In-Person,,,,,,Yes,9,1,9,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=SOIL&course=524&section=002
"BLANCO VACA, JUAN ANTONIO",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1266414&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"BOEDHIHARTONO, AGNI",Restricted,FRST 519 101,Lecture,1,In-Person,,Wed,9:00,12:00,,Yes,7,18,0,7,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=519&section=101
"BOEDHIHARTONO, AGNI",Restricted,FRST 526C 921,Project,1-2,In-Person,,,,,"Section Comments  MIF program internship/project.Should any organizational meeting be held for this class, they will be held in FSC 2401.",Yes,20,0,0,20,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=526C&section=921
"BOHLMANN, JOERG",Blocked,BIOL 462 201,Lecture,2,In-Person,,Wed,8:00,11:00,,Yes,5,19,5,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=BIOL&course=462&section=201
"BOHLMANN, JOERG",,BOTA 528 201,Seminar,2,In-Person,,Wed,8:00,11:00,Section Comments  Contact Dr. Joerg Bohlmann at bohlmann@msl.ubc.ca for further information.,Yes,1,5,1,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=BOTA&course=528&section=201
"BOHLMANN, JOERG",Blocked,FRST 413 101,Lecture,1,In-Person,,Wed,8:00,11:00,Section Comments  FRST 413 is the same as BIOL 462.,Yes,10,0,10,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=413&section=101
"BOHLMANN, JOERG",Blocked,GSAT 502 001,Seminar,1-2,In-Person,,Thu,15:00,16:30,Section Comments  Contact dept coordinator to register in this course.,Yes,0,12,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=GSAT&course=502&section=001
"BREUIL, COLETTE",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1369464&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"BROOKS, CARELLIN",Full,FRST 150 103,Lecture,1,In-Person,,Tue Thu,15:30,17:00,,Yes,0,30,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=150&section=103
"BROOKS, CARELLIN",,FRST 150 104,Lecture,1,In-Person,,Tue Thu,17:00,18:30,,Yes,5,25,5,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=150&section=104
"BROOKS, CARELLIN",Full,FRST 150 204,Lecture,2,In-Person,,Tue Thu,17:00,18:30,,Yes,0,30,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=150&section=204
"BROOKS, CARELLIN",,WOOD 225 102,Lecture,1,In-Person,,Mon Wed,15:00,16:30,,Yes,3,27,3,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=225&section=102
"BROOKS, CARELLIN",,WOOD 225 202,Lecture,2,In-Person,,Tue Thu,12:30,14:00,,Yes,1,29,1,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=225&section=202
"BROOKS, CARELLIN",Full,WOOD 225 203,Lecture,2,In-Person,,Tue Thu,15:30,17:00,Section Comments  Please be advised that students on campus will be able to use the booked room in order to attend the class if and when needed.,Yes,0,30,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=225&section=203
"BROWN, JASON",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1859797&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"BULKAN, JANETTE",,CONS 370 201,Lecture,2,In-Person,,Tue Thu,12:30,14:00,Section Comments  This course is open to non-Forestry students.,Yes,14,85,14,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=CONS&course=370&section=201
"BULKAN, JANETTE",,FRST 370 101,Lecture,1,In-Person,,Mon Wed Fri,10:00,11:00,Section Comments  Please note this course was formerly FRST 270.,Yes,15,85,15,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=370&section=101
"BULKAN, JANETTE",Restricted,FRST 522 101,Lecture,1,In-Person,,Mon Wed,13:00,15:00,,Yes,7,18,0,7,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=522&section=101
"BULL, GARY",Blocked,FRST 497 610,Essay/Report,1,In-Person,,,,,,Yes,10,0,10,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=497&section=610
"BURKE, JORDAN",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1474746&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"BURTON, COLE",Full,FRST 395 101,Lecture,1,In-Person,,Tue Thu,11:00,12:30,Section Comments  This course is also open to non-Forestry students who meet the prerequisite.,Yes,0,150,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=395&section=101
"BURTON, COLE",,FRST 395 L02,Laboratory,1,In-Person,,Mon,15:00,17:00,,Yes,3,37,3,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=395&section=L02
"BURTON, COLE",Full,FRST 395 L03,Laboratory,1,In-Person,,Wed,8:00,10:00,,Yes,0,40,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=395&section=L03
"BURTON, COLE",Full,FRST 395 L04,Laboratory,1,In-Person,,Fri,8:00,10:00,,Yes,0,35,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=395&section=L04
"BURTON, COLE",Full,FRST 395 L05,Laboratory,1,In-Person,,Fri,15:00,17:00,,Yes,0,38,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=395&section=L05
"BURTON, COLE",,FRST 532C 301,Lecture,1,In-Person,,Wed,13:00,16:00,Section Comments  Course Name: Quantitative Methods in Wildlife EcologyCourse: 3 hours total (2 hours lecture / 1 hour lab/tutorial).  Target FRST Grad students (if capacity has been reached - please contact instructor for registration approval).,Yes,1,14,1,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=532C&section=301
"BYRNE, KENNETH",Restricted,FRST 497 101,Essay/Report,1,In-Person,,Wed,9:00,11:00,Section Comments  This course is open only to BSF students.,Yes,13,51,0,13,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=497&section=101
"BYRNE, KENNETH",,FRST 497 T01,Tutorial,1,In-Person,,Mon,17:00,19:00,,Yes,11,24,11,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=497&section=T01
"BYRNE, KENNETH",,FRST 497 T02,Tutorial,1,In-Person,,Fri,9:00,11:00,,Yes,8,27,8,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=497&section=T02
"BYRNE, KENNETH",Restricted,FRST 557 101,Lecture,1,In-Person,,Mon Tue Fri,9:00,10:00,Section Comments  This is a restricted course.  Registration is for MSFM students only. Some full-day field trips on Fridays.,Yes,4,18,0,4,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=557&section=101
"BYRNE, KENNETH",Restricted,FRST 557 L01,Laboratory,1,In-Person,,Tue Thu Fri,13:00,17:00,,Yes,7,18,0,7,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=557&section=L01
"BYRNE, KENNETH",Restricted,FRST 558 201,Lecture,2,In-Person,,Mon Tue Wed Thu Fri,,,Section Comments  Restricted to MSFM cohort. Exact schedule will be communicated to students closer to the start of the course. Meets in FSC 2430.,Yes,5,17,0,5,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=558&section=201
"CAMPBELL, DAVID CAMERON",,FRST 490 201,Lecture,2,In-Person,,Wed,15:00,18:00,Section Comments  FRST 490 is the same as FRST 551 and is cross-listed with LARC 542.,Yes,7,27,2,5,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=490&section=201
"CAMPBELL, DAVID CAMERON",,FRST 551 201,Lecture,2,In-Person,,Wed,15:00,18:00,Section Comments  cross-listed with LARC 542 and FRST 490.,Yes,8,7,8,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=551&section=201
"CAMPBELL, DAVID CAMERON",Restricted,LARC 542 001,Seminar,2,In-Person,,Wed,15:00,18:00,,Yes,10,5,0,10,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LARC&course=542&section=001
"CAMPBELL, DAVID CAMERON",,LARC 542 WL1,Waiting List,2,In-Person,,Wed,,,,Yes,27,0,12,15,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LARC&course=542&section=WL1
"CARROLL, ALLAN",,FRST 307 101,Lecture,1,In-Person,,Mon Wed Fri,11:00,12:00,,Yes,44,76,44,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=307&section=101
"CARROLL, ALLAN",,FRST 307 L01,Laboratory,1,In-Person,,Wed,16:00,18:00,,Yes,6,34,6,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=307&section=L01
"CARROLL, ALLAN",,FRST 307 L02,Laboratory,1,In-Person,,Thu,14:00,16:00,,Yes,19,21,19,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=307&section=L02
"CARROLL, ALLAN",,FRST 307 L03,Laboratory,1,In-Person,,Thu,16:00,18:00,,Yes,19,21,19,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=307&section=L03
"CARROLL, ALLAN",,FRST 408 201,Lecture,2,In-Person,,Tue,16:00,19:00,,Yes,12,3,12,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=408&section=201
"CARROLL, ALLAN",Blocked,FRST 498 101,Thesis,1-2,In-Person,,,,,Section Comments  Dr. Carroll will meet regularly with FRST 498 students to discuss thesis requirements and review progress.,Yes,16,4,16,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=498&section=101
"CARROLL, ALLAN",,FRST 498 102,Thesis,1,In-Person,,,,,,Yes,4,1,4,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=498&section=102
"CARROLL, ALLAN",Blocked,FRST 498 610,Thesis,1-2,In-Person,,,,,,Yes,0,0,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=498&section=610
"CARROLL, ALLAN",,FRST 508 201,Lecture,2,In-Person,,Tue,16:00,19:00,Section Comments  meets with FRST 408.,Yes,3,7,3,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=508&section=201
